城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
370700,潍坊,G20青银高速,G20青银高速-K135,47.860745,47.356434,0.504311,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,46.903505,44.871179,2.032325,0.0
321300,宿迁,G2513淮徐高速,G2513淮徐高速-K91,45.788253,45.195775,0.592478,0.0
411400,null,S60商登高速,,41.289815,39.559575,1.73024,0.0
150400,null,G45大广高速,G45大广高速-K803,40.905209,36.76345,4.141759,0.0
441600,null,G35济广高速,,40.87007,40.37123,0.49884,0.0
150400,null,G16丹锡高速,,39.593909,38.832487,0.761421,0.0
510700,绵阳,三道河大桥,S2成巴高速-K112,39.531019,37.776957,1.754062,0.0
361100,null,G6021杭长高速,S36德昌高速-K122,39.29731,38.752319,0.544991,0.0
340100,合肥,G5011芜合高速,G5011芜合高速-K101,38.973836,38.973836,0.0,0.0
