城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,10294.08987,9463.007385,56.664715,774.41777
110000,北京,G3京台高速,,9162.71194,8410.756857,55.700377,696.254707
510100,成都,S1成万高速,S1成绵高速复线-K20,7491.26485,7044.025157,167.714885,279.524808
110000,北京,G3京台高速,,6986.016818,6168.504212,185.79832,631.714287
120000,天津,S4津港高速,S4津港高速-K11,6549.883635,5783.407891,139.359226,627.116518
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5974.206153,5266.361822,84.94132,622.903011
110000,北京,G3京台高速,,5579.288805,1449.521111,355.542914,3774.22478
610100,西安,S3011绕城高速联络线,,5415.209172,4618.854882,119.453144,676.901147
330100,杭州,S2杭甬高速,S2杭甬高速-K20,5182.540597,4572.829938,0.0,609.710658
120000,天津,S5荣乌联络线,,4891.334556,4313.267745,66.700017,511.366795
340700,null,G3京台高速,G3京台高速-K1179,4755.199842,4384.664789,61.755842,308.779211
610100,西安,G3023西兴高速,,4372.405809,2935.464932,513.19317,923.747706
510100,成都,S57城北出口高速,,4304.68565,3705.104435,61.495509,538.085706
320100,南京,S55宁宣高速,S55宁宣高速-K27,4253.122474,3571.324215,97.399751,584.398508
110000,北京,G1京哈高速,G1京哈高速-K8,4199.830789,3875.206187,50.722594,273.902008
110000,北京,G4京港澳高速,G4京港澳高速-K10,4115.900498,2836.303709,32.601192,1246.995596
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K200,4064.971799,2597.065316,0.0,1467.906483
610400,咸阳,机场高速,G70福银高速-K1699,4027.762794,3776.027619,0.0,251.735175
350100,福州,G1523甬莞高速,G70福银高速-K18,3839.783165,2710.435175,0.0,1129.34799
110000,北京,G6京藏高速,G6京藏高速-K68,3828.078732,1778.930705,517.916534,1531.231493
110000,北京,G45大广高速,G45大广高速-K1355,2122.466306,682.221313,62.020119,1378.224874
440400,珠海,G0425广澳高速,,1645.470247,50.243366,0.0,1595.22688
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1202.286472,141.824678,11.281508,1049.180286
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1099.319887,27.482997,0.0,1071.83689
110000,北京,通燕高速,通燕高速-K30,1096.889373,393.367223,22.694263,680.827887
610100,西安,S3011绕城高速联络线,,973.66817,17.4649,0.0,956.20327
440100,广州,S4华南快速,,837.574295,2.810652,0.936884,833.826759
110000,北京,G6京藏高速,G6京藏高速-K53,725.206471,74.653607,447.921644,202.63122
110000,北京,G7京新高速,G7京新高速-K14,667.500224,215.955955,2.454045,449.090224
310000,上海,G60沪昆高速,,636.910276,175.25719,4.274566,457.37852
