城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
350500,泉州,S56南惠支线高速,,17352.016763,14732.844421,0.0,2619.172342
110000,北京,京开高速,京开高速-K8,8216.413608,7383.560766,128.131206,704.721635
110000,北京,G3京台高速,,8174.970039,7169.149118,85.601781,920.219141
120000,天津,S4津港高速,S4津港高速-K11,6267.313453,5703.255243,188.019404,376.038807
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6225.05881,5209.39132,32.763467,982.904023
330100,杭州,G2504杭州绕城高速,G60沪昆高速-K157,5782.948084,1324.820834,42.057804,4416.069446
110000,北京,G3京台高速,,5754.257251,5214.795634,29.97009,509.491527
610400,咸阳,机场高速,G70福银高速-K1699,5369.082191,4862.565003,33.767813,472.749375
350100,福州,G1523甬莞高速,G70福银高速-K18,5335.546597,4446.288831,0.0,889.257766
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5285.308799,4809.910653,55.929194,419.468952
120000,天津,S5荣乌联络线,,5162.890317,4463.983767,157.817608,541.088941
340700,null,G3京台高速,G3京台高速-K1179,4810.942945,4225.828262,130.025485,455.089197
610100,西安,S3011绕城高速联络线,,4804.458538,4007.122865,163.556035,633.779637
110000,北京,G1京哈高速,G1京哈高速-K8,4523.207334,4100.235656,77.688676,345.283003
441300,惠州,S21广惠高速,,4502.940983,2626.715574,1407.169057,469.056352
110000,北京,S15京津高速,G1京津高速-K33,4453.870626,3039.943443,141.392718,1272.534464
510100,成都,S57城北出口高速,,4428.787407,3664.208473,72.130088,692.448845
320100,南京,S55宁宣高速,S55宁宣高速-K27,4233.676419,3310.374647,292.75422,630.547552
110000,北京,G6京藏高速,G6京藏高速-K5,4158.117606,3656.087659,32.741084,469.288864
430300,null,S41长潭西高速,,3960.457791,3617.426014,0.0,343.031777
440400,珠海,G0425广澳高速,,2253.556394,20.866263,0.0,2232.690131
320500,苏州,S48沪宜高速,S48沪宜高速-K13,2019.089574,0.0,0.0,2019.089574
350100,福州,S81机场高速,S1531机场高速-K50,1393.739015,0.0,0.0,1393.739015
440600,佛山,S47广佛江珠高速,,1350.551256,527.678577,15.295031,807.577648
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1344.158462,130.538466,12.924601,1200.695395
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1280.349168,24.465271,16.31018,1239.573717
610100,西安,S3011绕城高速联络线,,1057.330178,43.39788,11.835786,1002.096512
440100,广州,S4华南快速,,870.879862,6.042532,0.755316,864.082014
350100,福州,S52福州南连接线,,760.651592,426.014284,8.643768,325.993539
110000,北京,G7京新高速,G7京新高速-K14,694.159802,198.331372,2.203682,493.624748
350100,福州,G1505福州绕城高速,,658.419492,9.405993,0.0,649.013499
440100,广州,S81广州环城高速,S81广州环城高速-K27,611.515708,238.764662,5.099828,367.651218
110000,北京,G6京藏高速,G6京藏高速-K53,589.998724,15.945911,414.593698,159.459115
500000,重庆,G75兰海高速,G75兰海高速-K992,583.091796,252.673111,4.859098,325.559586
500000,重庆,G75兰海高速,G75兰海高速-K974,558.348026,312.018014,0.0,246.330011
500000,重庆,G75兰海高速,G75兰海高速-K990,557.383826,134.456625,3.666999,419.260203
520600,null,S25沿榕高速,,542.7703,469.705067,0.0,73.065233
500000,重庆,G75兰海高速,G75兰海高速-K931,542.093565,8.60466,0.0,533.488906
