城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,G3京台高速,,9949.446058,9202.490648,268.903948,478.051462
110000,北京,京开高速,京开高速-K8,9855.189059,9050.683829,36.56842,767.93681
510100,成都,S1成万高速,S1成绵高速复线-K20,7607.607608,7407.407407,0.0,200.2002
340700,null,G3京台高速,G3京台高速-K1179,5785.331456,5294.124068,109.157197,382.05019
610100,西安,S3011绕城高速联络线,,5570.682295,4699.078943,75.791596,795.811756
330100,杭州,S2杭甬高速,S2杭甬高速-K20,5460.899956,4946.932902,0.0,513.967055
120000,天津,S5荣乌联络线,,5343.007916,4771.328056,21.987687,549.692172
120000,天津,S4津港高速,S4津港高速-K11,5275.652862,4836.015124,62.805391,376.832347
110000,北京,G3京台高速,,4973.63971,4766.404722,41.446998,165.78799
110000,北京,G6京藏高速,G6京藏高速-K68,4812.523886,2359.080336,896.450528,1556.993022
610400,咸阳,机场高速,G70福银高速-K1699,4465.449804,4106.910039,32.594524,325.945241
110000,北京,G1京哈高速,G1京哈高速-K8,4389.806473,4024.858192,62.562563,302.385719
350100,福州,G1523甬莞高速,G70福银高速-K18,4294.72554,3489.464501,0.0,805.261039
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4176.767824,3943.102491,29.208167,204.457166
510100,成都,S57城北出口高速,,4174.137047,3591.082983,79.507372,503.546691
320100,南京,S55宁宣高速,S55宁宣高速-K27,4078.854014,3446.918885,76.598197,555.336932
110000,北京,S15京津高速,G1京津高速-K33,4034.142622,344.378029,983.937225,2705.827368
110000,北京,G4京港澳高速,G4京港澳高速-K10,4029.652686,3002.940411,7.719641,1018.992633
440100,广州,S81广州环城高速,S81广州环城高速-K60,3832.265731,2970.636841,72.102836,789.526054
110000,北京,G7京新高速,G7京新高速-K14,3819.958543,3138.880663,29.612082,651.465798
440400,珠海,南屏沙心涌高架桥,,2393.795987,44.125272,11.031318,2338.639397
110000,北京,潮白河大桥,通燕高速-K30,2190.583043,660.652029,115.903865,1414.027149
320500,苏州,千部泾中桥,S48沪宜高速-K13,1599.268906,0.0,0.0,1599.268906
310000,上海,江杨北路桥,G1501上海绕城高速-K202,1244.685612,34.963079,13.985232,1195.737301
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1122.879467,106.871188,4.391967,1011.616313
