城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
441600,null,G35济广高速,,44.514886,44.017334,0.497552,0.0
640300,null,G6京藏高速,G6京藏高速-K1266,39.340832,39.340832,0.0,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,37.623235,36.557421,1.065814,0.0
441600,null,G35济广高速,,37.204447,37.181875,0.022572,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,36.36787,35.413271,0.954598,0.0
421300,null,G4213麻安高速,S49随岳高速-K86,36.042945,35.812883,0.230061,0.0
533100,null,S90腾瑞高速,,35.961538,33.076923,2.884615,0.0
441700,null,S14汕湛高速,,35.722976,35.704258,0.018718,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K151,35.471839,35.024245,0.447594,0.0
441500,null,G1523甬莞高速,,35.219194,35.219194,0.0,0.0
