城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
341200,null,S12滁新高速,S12滁新高速-K300,54.694287,51.520214,3.174073,0.0
370700,潍坊,G20青银高速,G20青银高速-K135,52.589763,52.009167,0.580596,0.0
441600,null,G35济广高速,,46.931818,46.625494,0.306324,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,46.752412,44.276527,2.475884,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,46.471372,44.131634,2.339737,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,46.386047,46.386047,0.0,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,42.216625,39.244332,2.972292,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,41.97329,39.683838,2.289452,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,41.254019,38.778135,2.475884,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K94,40.547378,40.064397,0.482981,0.0
