城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
350500,泉州,S56南惠支线高速,,17239.364189,15778.401122,0.0,1460.963067
110000,北京,京开高速,京开高速-K8,8155.559074,7319.091477,134.432292,702.035305
110000,北京,G3京台高速,,7476.984906,6814.960201,19.471315,642.55339
110000,北京,G3京台高速,,6928.161833,6384.215243,28.628768,515.317822
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6789.5371,6343.276446,0.0,446.260654
120000,天津,S4津港高速,S4津港高速-K11,6772.585462,5939.890528,111.025991,721.668943
330100,杭州,S2杭甬高速,S2杭甬高速-K19,6170.479267,5748.566155,0.0,421.913112
340700,null,G3京台高速,G3京台高速-K1179,6109.551903,5632.24316,95.461748,381.846994
610100,西安,S3011绕城高速联络线,,5231.949773,4561.186982,114.987907,555.774884
610100,西安,G3023西兴高速,,5027.098455,4133.392063,15.959043,877.747349
610400,咸阳,机场高速,G70福银高速-K1699,4986.312739,4752.056436,33.465186,200.791117
120000,天津,S5荣乌联络线,,4642.798758,4097.869326,0.0,544.929432
510100,成都,S57城北出口高速,,4600.834723,4043.590766,42.86492,514.379037
440100,广州,S81广州环城高速,S81广州环城高速-K60,4428.546838,3583.028049,83.41441,762.104379
110000,北京,G1京哈高速,G1京哈高速-K8,4359.197908,3996.602888,32.230668,330.364352
110000,北京,S15京津高速,G1京津高速-K33,4239.68867,2684.519027,333.250638,1221.919005
441300,惠州,S21广惠高速,,4180.31668,2474.064974,1365.001365,341.250341
350100,福州,G1523甬莞高速,G70福银高速-K18,4101.3269,3317.249698,0.0,784.077201
120000,天津,S2津宁高速,,4058.683348,3313.970807,93.089068,651.623473
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4022.96631,3089.638126,96.551191,836.776992
440400,珠海,G0425广澳高速,,1989.040387,19.890404,0.0,1969.149984
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1424.041146,33.310904,24.983178,1365.747064
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1421.812876,138.359918,7.906281,1275.546677
350100,福州,S81机场高速,S1531机场高速-K50,1310.878751,0.0,0.0,1310.878751
610100,西安,S3011绕城高速联络线,,1185.943966,18.824507,3.764901,1163.354557
440600,佛山,S47广佛江珠高速,,1071.181889,343.586644,13.473986,714.121259
440100,广州,S4华南快速,,901.805591,13.921527,0.773418,887.110646
110000,北京,G7京新高速,G7京新高速-K14,779.144205,305.340296,2.105795,471.698113
350100,福州,S52福州南连接线,,758.487589,429.05492,4.528284,324.904385
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,703.751617,0.0,0.0,703.751617
500000,重庆,G75兰海高速,G75兰海高速-K984,683.482313,208.016356,1.650923,473.815033
440100,广州,S81广州环城高速,S81广州环城高速-K27,644.983414,248.287991,4.711347,391.984076
110000,北京,G7京新高速,G7京新高速-K13,636.815491,280.630555,0.0,356.184936
350100,福州,G1505福州绕城高速,,631.847986,8.899267,0.0,622.948719
310000,上海,S20外环高速,S20外环高速-K52,596.472073,113.830548,11.383055,471.25847
310000,上海,G60沪昆高速,,593.519051,205.986024,0.0,387.533028
350100,福州,S52福州南连接线,,590.972711,319.607691,24.121335,247.243685
110000,北京,S51机场第二高速,,582.412542,217.918279,1.297133,363.197131
110000,北京,S51机场第二高速,,576.933968,279.618303,7.078944,290.23672
310000,上海,G60沪昆高速,,561.358678,175.918741,0.0,385.439937
