城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
441600,null,G35济广高速,,45.844886,45.402773,0.442113,0.0
320600,南通,G40沪陕高速,G40沪陕高速-K121,40.172559,39.520202,0.652357,0.0
640300,null,G6京藏高速,G6京藏高速-K1266,38.600118,38.600118,0.0,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,38.586051,38.586051,0.0,0.0
441600,null,G35济广高速,,38.544313,37.430877,1.113436,0.0
410200,null,S60商登高速,G45大广高速-K1978,38.235294,37.402886,0.832408,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,36.851717,35.208181,1.643535,0.0
341100,滁州,S12滁新高速,,36.446532,36.446532,0.0,0.0
411600,null,G1516盐洛高速,S32永登高速-K164,35.925831,35.513778,0.412053,0.0
230800,null,G1011哈同高速,G1011哈同高速-K513,35.82296,35.131397,0.691563,0.0
