城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7707.497651,6877.675824,140.647767,689.17406
120000,天津,S4津港高速,S4津港高速-K11,6762.047121,6346.833701,0.0,415.21342
110000,北京,G3京台高速,,6742.005907,5986.599083,56.655512,698.751313
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6012.900405,5466.273095,32.154548,514.472762
120000,天津,S5荣乌联络线,,5953.096813,5351.773903,100.220485,501.102425
340700,null,G3京台高速,G3京台高速-K1179,5726.819886,5294.607065,162.079808,270.133013
110000,北京,G3京台高速,,5392.696132,4826.463038,0.0,566.233094
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5156.451424,4817.896532,52.085368,286.469524
350100,福州,G1523甬莞高速,G70福银高速-K18,4975.922953,4253.611557,0.0,722.311396
610100,西安,S3011绕城高速联络线,,4870.366155,3900.025005,93.302034,877.039116
510100,成都,S57城北出口高速,,4624.880868,4096.323055,66.069727,462.488087
110000,北京,G1京哈高速,G1京哈高速-K8,4368.214095,4128.64111,15.971532,223.601453
430100,长沙,S40机场高速,S40机场高速-K15,4262.893383,3926.349168,0.0,336.544214
610400,咸阳,机场高速,G70福银高速-K1699,4148.589163,3800.234348,31.66862,316.686196
320100,南京,S55宁宣高速,S55宁宣高速-K27,4104.953006,3365.047896,70.949805,668.955305
610100,西安,G3023西兴高速,,3965.011361,3137.530729,51.717539,775.763092
110000,北京,G7京新高速,G7京新高速-K14,3947.226127,3190.223856,67.589488,689.412783
440100,广州,S81广州环城高速,S81广州环城高速-K60,3735.175338,3084.626208,91.36926,559.17987
110000,北京,S15京津高速,G1京津高速-K33,3711.981343,2234.962589,194.344573,1282.674181
120000,天津,S2津宁高速,,3642.581029,3010.704728,148.676777,483.199524
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1718.213058,0.0,0.0,1718.213058
440400,珠海,G0425广澳高速,,1657.403155,42.226832,21.113416,1594.062907
