城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
360200,null,G6021杭长高速,S36德昌高速-K70,53.094705,50.93214,2.162565,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,52.523524,49.871685,2.651839,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,51.298557,49.82242,1.476138,0.0
370700,潍坊,G20青银高速,G20青银高速-K135,51.14291,50.603977,0.538933,0.0
231200,null,G10绥满高速,,49.984132,49.158997,0.825135,0.0
411000,null,G1516盐洛高速,S32永登高速-K221,48.8879,47.197509,1.690391,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,47.695449,46.314664,1.380786,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,46.609856,44.238607,2.371249,0.0
410200,null,S60商登高速,G45大广高速-K1978,46.396588,45.373134,1.023454,0.0
511300,南充,G5515张南高速,G5515南大梁高速-K49,46.225569,45.723507,0.502062,0.0
