城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7939.658595,7192.093337,90.223393,657.341864
110000,北京,G3京台高速,,7062.600321,6401.661788,113.303748,547.634784
120000,天津,S4津港高速,S4津港高速-K11,6584.723442,5591.788954,52.25971,940.674777
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6013.245922,5230.125523,55.937171,727.183228
110000,北京,G3京台高速,,5999.851099,5408.624895,43.794534,547.43167
510100,成都,S57城北出口高速,,5747.606752,4897.195549,146.622621,703.788582
371000,null,G18荣乌高速,,5269.814503,4065.285473,0.0,1204.529029
340700,null,G3京台高速,G3京台高速-K1179,5257.118825,4799.978057,45.714077,411.426691
610100,西安,S3011绕城高速联络线,,4778.232794,4189.366077,50.47429,538.392428
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4547.176961,3789.314134,24.447188,733.415639
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4432.770564,2946.002797,192.729155,1294.038612
610100,西安,G3023西兴高速,,4089.740594,3355.68459,29.96147,704.094534
610400,咸阳,机场高速,G70福银高速-K1699,4042.342187,3557.261125,0.0,485.081062
110000,北京,G1京哈高速,G1京哈高速-K8,4004.004004,3694.170361,39.722262,270.111381
320700,连云港,G30连霍高速,G30连霍高速-K18,3977.345043,3420.516737,79.546901,477.281405
110000,北京,G4京港澳高速,G4京港澳高速-K10,3923.511793,2635.550475,41.739487,1246.221831
320100,南京,S55宁宣高速,S55宁宣高速-K27,3879.070627,3356.049868,61.019089,462.00167
440100,广州,S81广州环城高速,S81广州环城高速-K60,3870.131034,3209.19784,80.780724,580.15247
120000,天津,S2津宁高速,,3847.014717,3409.853953,52.459292,384.701472
120000,天津,S5荣乌联络线,,3825.979636,3455.723542,0.0,370.256094
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1685.737638,51.082959,0.0,1634.654679
440400,珠海,G0425广澳高速,,1534.553921,17.638551,0.0,1516.91537
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1185.332252,84.230613,8.545135,1092.556504
610100,西安,S3011绕城高速联络线,,1052.936798,35.204574,3.200416,1014.531808
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,953.303879,14.335397,7.167698,931.800784
350100,福州,S81机场高速,S1531机场高速-K50,929.587212,0.0,0.0,929.587212
131100,null,S67故城连接线,,862.712143,399.40377,15.976151,447.332222
440100,广州,S4华南快速,,851.848643,6.563902,2.187967,843.096773
110000,北京,G7京新高速,G7京新高速-K3,831.38158,419.487053,5.694394,406.200133
500000,重庆,G75兰海高速,G75兰海高速-K992,799.602564,416.361099,9.462752,373.778714
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,756.501182,10.315925,0.0,746.185257
440100,广州,S81广州环城高速,S81广州环城高速-K27,745.581381,292.875081,6.696839,446.009461
110000,北京,G6京藏高速,G6京藏高速-K53,739.278083,59.6192,435.220162,244.438721
500000,重庆,G75兰海高速,G75兰海高速-K983,738.728547,265.387735,3.961011,469.379801
310000,上海,G60沪昆高速,,703.033449,162.238488,1.86481,538.930151
350100,福州,S52福州南连接线,,676.348723,360.05087,8.203691,308.094162
310000,上海,G60沪昆高速,,659.677261,299.235046,3.400398,357.041817
350100,福州,G1505福州绕城高速,,652.589918,0.0,0.0,652.589918
110000,北京,G7京新高速,G7京新高速-K3,625.054726,344.184229,5.388403,275.482094
440600,佛山,G9411莞佛高速,,609.574206,94.493266,8.646443,506.434497
440400,珠海,S47广佛江珠高速,,11264.550044,10430.138929,104.301389,730.109725
510100,成都,S57城北出口高速,,9252.405625,8462.867012,49.346163,740.19245
420100,武汉,黄花涝立交桥,G42沪蓉高速-K836,7030.964367,5906.010068,0.0,1124.954299
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,6664.845671,5845.397432,27.314941,792.133297
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,6655.457475,6217.598431,175.143618,262.715427
510100,成都,S1成万高速,,6538.379942,6016.700692,69.557233,452.122017
420100,武汉,常青立交,G42沪蓉高速-K834,6435.73727,5300.018929,126.190927,1009.527415
110000,北京,通燕高速,通燕高速-K29,5838.350666,5305.039788,28.068994,505.241885
330100,杭州,G25长深高速,G25长深高速-K2289,5438.035022,4865.610283,52.038613,520.386127
440100,广州,S3广深沿江高速,G1501广州绕城高速-K46,5165.956348,3900.297042,51.659563,1213.999742
510100,成都,白家立交,G4201成都绕城高速-K42,5064.57331,3765.400156,110.09942,1189.073734
440100,广州,土华立交桥,S81广州环城高速-K35,4960.016196,3826.298208,182.204677,951.513311
510100,成都,白家立交,G4201成都绕城高速-K43,4932.937258,4014.762805,72.013683,846.160771
310000,上海,G2京沪高速,G2京沪高速-K1215,4891.344933,4007.666841,24.892341,858.785752
510100,成都,G5京昆高速,G5京昆高速-K1813,4788.066251,3259.48172,89.916737,1438.667794
510100,成都,白家立交,G4201成都绕城高速-K43,4744.958482,4183.055504,31.216832,530.686146
510100,成都,G42沪蓉高速,,4724.447603,3611.116239,115.371126,997.960238
440100,广州,土华立交桥,S81广州环城高速-K35,4539.993854,3450.395329,139.692119,949.906406
