城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,8924.04364,8059.969573,70.825743,793.248324
110000,北京,G3京台高速,,7068.887709,6489.798037,39.937219,539.152452
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6710.020692,6089.269879,88.678688,532.072125
120000,天津,S4津港高速,S4津港高速-K11,6014.531107,5212.593626,0.0,801.937481
340700,null,G3京台高速,G3京台高速-K1179,5717.012388,4861.711322,225.079228,630.221838
110000,北京,G3京台高速,,5426.570157,4953.484554,0.0,473.085603
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4791.097831,3889.547164,77.275771,824.274896
510100,成都,S57城北出口高速,,4635.150939,4206.275763,0.0,428.875176
441300,惠州,S21广惠高速,,4593.972759,2868.060341,1192.910053,533.002364
610100,西安,S3011绕城高速联络线,,4491.540931,3569.035891,120.984268,801.520772
110000,北京,G7京新高速,G7京新高速-K14,4359.457049,3641.137422,24.769642,693.549985
120000,天津,S5荣乌联络线,,4233.511586,3386.809269,133.68984,713.012478
350100,福州,G1523甬莞高速,G70福银高速-K18,4127.475032,3778.674325,0.0,348.800707
371000,null,G18荣乌高速,,3960.666485,3346.080306,0.0,614.586179
110000,北京,G1京哈高速,G1京哈高速-K8,3912.199492,3568.762132,29.864118,313.573242
350100,福州,G1523甬莞高速,G70福银高速-K18,3909.254037,3268.39272,0.0,640.861318
610400,咸阳,机场高速,G70福银高速-K1699,3899.047907,3445.670243,0.0,453.377664
110000,北京,G4京港澳高速,G4京港澳高速-K10,3820.388876,2636.839008,33.029299,1150.520569
440100,广州,S81广州环城高速,S81广州环城高速-K60,3774.467775,3141.855667,63.614625,568.997483
610100,西安,G3023西兴高速,,3728.886636,3044.286355,43.69789,640.902391
440400,珠海,G0425广澳高速,,1514.55989,63.106662,7.888333,1443.564895
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1481.888035,0.0,0.0,1481.888035
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1303.464122,11.046306,22.092612,1270.325203
350100,福州,S81机场高速,S1531机场高速-K50,1303.368674,0.0,0.0,1303.368674
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1189.049496,133.543356,8.988495,1046.517645
610100,西安,S3011绕城高速联络线,,983.167934,31.715095,0.0,951.45284
110000,北京,G7京新高速,G7京新高速-K3,949.684249,500.14109,13.62252,435.920639
440100,广州,S4华南快速,,867.315978,9.395923,0.0,857.920055
120000,天津,G2京沪高速,G3京台高速-K138,737.967287,338.936116,7.211407,391.819765
110000,北京,G7京新高速,G7京新高速-K3,736.471386,389.248207,5.511479,341.7117
350100,福州,S52福州南连接线,,692.747487,319.161958,7.379467,366.206062
350100,福州,S52福州南连接线,,664.221424,200.091547,3.094199,461.035678
500000,重庆,G75兰海高速,G75兰海高速-K992,663.027287,314.065557,4.362022,344.599708
310000,上海,G60沪昆高速,,654.554924,122.065648,5.307202,527.182074
350100,福州,G1505福州绕城高速,,644.799421,23.306003,0.0,621.493418
610100,西安,G3002西安绕城高速,G30连霍高速-K1052,592.839474,332.964636,0.0,259.874838
500000,重庆,G75兰海高速,G75兰海高速-K983,592.222535,240.407168,1.95453,349.860837
310000,上海,G60沪昆高速,,582.668093,161.303596,0.0,421.364497
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,574.597307,0.0,0.0,574.597307
500000,重庆,G75兰海高速,G75兰海高速-K992,536.02633,335.016456,5.025247,195.984627
440400,珠海,S47广佛江珠高速,,10611.597091,9781.124276,0.0,830.472816
510100,成都,S57城北出口高速,,8673.621461,7958.271237,59.612519,655.737705
110000,北京,通燕高速,通燕高速-K29,6342.303162,5939.617247,25.16787,377.518045
510100,成都,S1成万高速,,5903.892815,5528.500787,68.253096,307.138933
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,5768.827355,5331.794979,87.406475,349.6259
