城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
231200,null,G10绥满高速,,48.734635,47.758496,0.976139,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,47.836227,45.244882,2.591345,0.0
441600,null,G35济广高速,,47.697123,47.182889,0.514235,0.0
321300,宿迁,G2513淮徐高速,G2513淮徐高速-K91,45.942115,45.410514,0.531601,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,45.885701,44.083472,1.802229,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,44.54099,43.350963,1.190026,0.0
410200,null,S60商登高速,G45大广高速-K1978,44.444444,43.255601,1.188843,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,43.319206,40.910105,2.409101,0.0
411400,null,S60商登高速,,42.624287,41.361043,1.263244,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,41.612903,41.612903,0.0,0.0
