城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
370700,潍坊,G22青兰高速,G22青兰高速-K133,48.034728,46.661405,1.373323,0.0
231200,null,G10绥满高速,,47.534297,46.570263,0.964034,0.0
410200,null,S60商登高速,G45大广高速-K1978,45.693563,43.970988,1.722575,0.0
441600,null,G35济广高速,,45.546053,45.052632,0.493421,0.0
340100,合肥,G5011芜合高速,G5011芜合高速-K101,40.0,40.0,0.0,0.0
440700,江门,G2518深岑高速,,39.975789,39.975789,0.0,0.0
411600,null,G1516盐洛高速,S32永登高速-K144,38.978596,37.438979,1.539617,0.0
440700,江门,G2518深岑高速,,38.813765,38.813765,0.0,0.0
520300,null,G7521渝筑高速,,38.73805,38.393881,0.344168,0.0
321000,扬州,G40沪陕高速,G40沪陕高速-K364,38.075777,37.990634,0.085143,0.0
