城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,8131.017313,7440.240621,14.391181,676.385511
120000,天津,S4津港高速,S4津港高速-K11,7314.203877,6598.127973,153.444837,562.631067
110000,北京,G3京台高速,,7261.254022,6689.937081,36.859157,534.457783
110000,北京,G3京台高速,,6665.006345,6024.596482,47.437768,592.972095
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6424.900057,5968.018275,0.0,456.881782
340700,null,G3京台高速,G3京台高速-K1179,6078.609031,5314.004121,191.151227,573.453682
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5387.398173,4788.798376,52.052156,546.547641
610400,咸阳,机场高速,G70福银高速-K1699,5229.224233,4575.571204,148.557507,505.095522
110000,北京,G1京哈高速,G1京哈高速-K8,4961.006786,4438.009082,74.713958,448.283746
120000,天津,S5荣乌联络线,,4949.226067,4377.403135,157.744257,414.078675
610100,西安,S3011绕城高速联络线,,4920.848755,4009.580467,60.751219,850.517069
441300,惠州,S21广惠高速,,4843.195311,2995.790914,1497.895457,349.50894
320100,南京,S55宁宣高速,S55宁宣高速-K27,4643.24408,3901.04912,162.920845,579.274115
350100,福州,G1523甬莞高速,G70福银高速-K18,4563.084645,3593.429158,0.0,969.655487
110000,北京,G7京新高速,G7京新高速-K14,4500.196194,3617.323916,24.52423,858.348048
610100,西安,G3023西兴高速,,4431.807212,3334.825229,14.626426,1082.355557
510100,成都,S57城北出口高速,,4370.293087,3585.486934,76.94178,707.864373
430100,长沙,S40机场高速,S40机场高速-K15,4289.145602,3860.231042,35.74288,393.17168
371000,null,G18荣乌高速,,4233.222329,3316.024158,0.0,917.198171
440100,广州,S81广州环城高速,S81广州环城高速-K60,4040.8716,3112.107785,119.840492,808.923323
440400,珠海,G0425广澳高速,,2051.767677,94.69697,0.0,1957.070707
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1777.12161,0.0,0.0,1777.12161
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1356.928087,0.0,10.769271,1346.158817
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1252.870899,113.667723,3.788924,1135.414253
350100,福州,S81机场高速,S1531机场高速-K50,1187.238668,18.550604,0.0,1168.688064
610100,西安,S3011绕城高速联络线,,1078.414515,41.938342,8.986788,1027.489385
440100,广州,S4华南快速,,821.2582,13.796557,0.726135,806.735508
110000,北京,G7京新高速,G7京新高速-K3,810.738969,347.459558,30.378978,432.900433
110000,北京,G7京新高速,G7京新高速-K3,788.347312,378.702676,25.560749,384.083887
350100,福州,S52福州南连接线,,714.827936,344.417096,2.785044,367.625796
441900,东莞,G9411莞佛高速,G9411莞佛高速-K38,709.795632,291.368779,5.321804,413.105049
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,672.860636,3.91198,0.0,668.948655
310000,上海,G60沪昆高速,,660.473511,173.808819,5.214265,481.450428
500000,重庆,G75兰海高速,G75兰海高速-K944,652.661195,253.581738,14.549772,384.529685
350100,福州,G1505福州绕城高速,,638.805511,0.0,0.0,638.805511
330100,杭州,G60沪昆高速,G60沪昆高速-K164,618.900639,322.379999,1.723957,294.796683
500000,重庆,G75兰海高速,G75兰海高速-K983,591.991095,263.587276,8.642206,319.761613
330100,杭州,G2504杭州绕城高速,G2501杭州绕城高速-K42,576.34673,336.202259,5.336544,234.807927
500000,重庆,G75兰海高速,G75兰海高速-K931,567.863288,0.0,0.0,567.863288
350100,福州,S52福州南连接线,,559.172508,212.028237,4.157416,342.986854
440400,珠海,S47广佛江珠高速,,9556.574924,9122.185154,0.0,434.389769
510100,成都,S57城北出口高速,,7521.594684,6963.45515,0.0,558.139535
510100,成都,S1成万高速,,7177.090253,6643.257094,88.972193,444.860966
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,7047.289654,6189.132611,26.004759,832.152284
110000,北京,通燕高速,通燕高速-K29,6852.69151,6392.233977,135.428686,325.028846
420100,武汉,常青立交,G42沪蓉高速-K834,6715.222894,5682.111679,0.0,1033.111214
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,6565.481018,6275.827444,96.551191,193.102383
110000,北京,G1京哈高速,G1京哈高速-K8,5295.675199,2322.987153,110.326567,2862.361479
330100,杭州,G25长深高速,G25长深高速-K2289,5012.679924,4311.982731,0.0,700.697194
110000,北京,怀柔桥,S11京承高速-K42,4998.168211,4422.462972,78.50526,497.199979
310000,上海,G2京沪高速,G2京沪高速-K1215,4995.140387,4130.34864,38.722019,826.069728
510100,成都,G5京昆高速,G5京昆高速-K1813,4929.078693,3325.931739,0.0,1603.146954
110000,北京,S28机场北线高速,S28机场北线高速-K8,4701.423094,4092.430465,48.71941,560.273218
440100,广州,土华立交桥,S81广州环城高速-K35,4453.739205,3446.806863,96.820417,910.111924
510100,成都,白家立交,G4201成都绕城高速-K42,4418.73131,3555.537287,41.104477,822.089546
440400,珠海,G0425广澳高速,,4366.777556,3784.540549,105.861274,476.375733
110000,北京,怀柔桥,S11京承高速-K42,4331.544825,3958.938818,46.575751,326.030256
110000,北京,通燕高速,通燕高速-K29,4301.280013,3570.232422,17.001107,714.046484
440100,广州,广清南连接线立交桥,S15沈海高速广州支线-K29,4284.893398,3343.70294,148.60902,792.581438
350100,福州,S1521福州连接线,S1521福州连接线-K12,4240.926512,3769.712455,0.0,471.214057
110000,北京,S32京平高速出口,S11京承高速-K10,7288.122218,6638.225969,46.421161,603.475088
440400,珠海,金台立交,S32西部沿海高速-K22,6600.458986,5432.685473,0.0,1167.773513
441900,东莞,S6广龙高速出口,G4京港澳高速-K2215,6214.507661,4928.747455,964.320154,321.440051
310000,上海,S7沪崇高速出口,S20外环高速-K84,6028.938907,251.205788,5191.586281,586.146838
340100,合肥,机场互通,S93机场高速-K2,5281.177156,4443.473193,36.421911,801.282051
500000,重庆,绕城渝广互通,G5001重庆绕城高速-K16,4888.647474,543.183053,3965.236285,380.228137
440300,深圳,鹤洲立交,G4京港澳高速-K2254,4057.262322,2657.595408,159.455724,1240.21119
320100,南京,南庄枢纽,G2501南京绕城高速-K81,3709.863119,3048.910494,149.247367,511.705258
310000,上海,莘庄立交,S20外环高速-K59,3134.188872,2279.410089,0.0,854.778783
420100,武汉,加油站,S13武监高速-K11,3118.070953,2482.908352,115.484109,519.678492
370100,济南,G2京沪高速,G2京沪高速-K401,2976.762051,384.098329,48.012291,2544.651431
610100,西安,三星立交,G5京昆高速-K1108,2975.316318,2632.010589,38.145081,305.160648
440100,广州,土华立交桥,S81广州环城高速-K35,2945.169232,345.137019,80.531971,2519.500242
350200,厦门,G2517沙厦高速,G15沈海高速-K2305,2882.907816,2261.973825,35.481942,585.452049
130200,唐山,唐港高速出口,唐港高速-K1,2574.779233,1931.084425,40.230926,603.463883
440300,深圳,水朗立交,G15沈海高速-K2891,2554.97519,826.04461,38.42068,1690.5099
440300,深圳,水朗立交,G15沈海高速-K2891,2546.531542,1417.353583,35.286811,1093.891147
440100,广州,仑头立交,S81广州环城高速-K33,2523.411653,654.217836,1626.198621,242.995196
440300,深圳,水朗立交,S31龙大高速-K7,2473.378793,501.962308,12.144249,1959.272236
370200,青岛,G20青银高速,G20青银高速-K15,2420.166975,0.0,0.0,2420.166975
