城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7846.51425,6968.384496,84.980299,793.149455
110000,北京,G3京台高速,,6365.038714,5815.898119,74.882808,474.257787
110000,北京,G3京台高速,,5893.232755,5421.774135,36.266048,435.192573
120000,天津,S5荣乌联络线,,5643.85339,4843.766894,64.871878,735.214618
120000,天津,S4津港高速,S4津港高速-K11,5597.850425,4851.470369,124.396676,621.983381
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5160.46657,4362.456276,0.0,798.010294
340700,null,G3京台高速,G3京台高速-K1179,5088.904676,4786.593507,50.385195,251.925974
110000,北京,S15京津高速,G1京津高速-K33,5076.013299,2846.193171,561.987187,1667.832941
330100,杭州,S2杭甬高速,S2杭甬高速-K20,5072.080246,4568.022582,31.503604,472.55406
610100,西安,S3011绕城高速联络线,,5005.43994,4310.239948,17.38,677.819992
510100,成都,S57城北出口高速,,4884.516084,3757.320065,93.933002,1033.263018
110000,北京,G1京哈高速,G1京哈高速-K8,4371.030157,4073.005374,45.849967,252.174817
440100,广州,S81广州环城高速,S81广州环城高速-K60,4282.692237,3559.313128,104.36813,619.010979
610400,咸阳,机场高速,G70福银高速-K1699,4275.176878,3733.253048,30.106879,511.81695
320100,南京,S55宁宣高速,S55宁宣高速-K27,4249.859914,3563.114401,89.575502,597.170011
441300,惠州,S21广惠高速,,4166.015727,2551.684633,1327.917513,286.413581
610100,西安,G3023西兴高速,,4096.337973,3092.817425,16.451157,987.069391
120000,天津,S2津宁高速,,4050.056349,3267.436764,78.261958,704.357626
110000,北京,G4京港澳高速,G4京港澳高速-K10,3988.07011,3027.089361,27.456593,933.524157
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,3809.275041,2757.189553,108.83643,943.249058
320500,苏州,S48沪宜高速,S48沪宜高速-K13,2346.316283,0.0,0.0,2346.316283
440400,珠海,G0425广澳高速,,1719.104438,50.861078,10.172216,1658.071144
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1669.570267,48.393341,8.065557,1613.111369
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1298.889728,152.012173,8.143509,1138.734045
350100,福州,S81机场高速,S1531机场高速-K50,1096.662429,0.0,0.0,1096.662429
610100,西安,S3011绕城高速联络线,,998.613436,35.921347,3.592135,959.099955
440100,广州,S4华南快速,,944.975151,58.737029,0.86378,885.374341
110000,北京,G7京新高速,G7京新高速-K14,850.563036,191.431067,2.175353,656.956616
110000,北京,西六环,,794.308334,351.126366,9.20556,433.976407
441900,东莞,G9411莞佛高速,G9411莞佛高速-K38,781.848571,379.578198,2.062925,400.207448
110000,北京,东六环,东六环-K30,721.319463,264.547244,7.61287,449.159349
110000,北京,G6京藏高速,G6京藏高速-K53,711.644264,50.381895,503.818948,157.443421
110000,北京,S51机场第二高速,,707.138524,304.035404,11.387094,391.716026
500000,重庆,G75兰海高速,G75兰海高速-K990,703.546324,205.952663,12.026433,485.567228
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,692.537313,0.0,3.9801,688.557214
500000,重庆,G75兰海高速,G75兰海高速-K992,682.82345,344.572945,3.16122,335.089285
350100,福州,G1505福州绕城高速,,656.487977,0.0,10.420444,646.067533
110000,北京,西六环,,652.695765,267.211018,8.761017,376.72373
110000,北京,西六环,,620.990862,177.731867,4.282696,438.976299
500000,重庆,G75兰海高速,G75兰海高速-K922,614.312361,319.123304,23.934248,271.254809
420100,武汉,常青立交,G42沪蓉高速-K834,9351.238656,7818.248712,306.597989,1226.391955
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,9224.262059,8249.340053,224.982001,749.940005
510100,成都,S57城北出口高速,,8984.236103,8154.557307,47.410217,782.268579
440400,珠海,S47广佛江珠高速,,8079.83753,7752.276549,109.186994,218.373987
510100,成都,S1成万高速,,7691.735107,7133.46401,31.015061,527.256036
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,6056.287852,5538.102795,0.0,518.185057
330100,杭州,G25长深高速,G25长深高速-K2289,5916.507324,5513.109098,26.893215,376.505012
310000,上海,G2京沪高速,G2京沪高速-K1215,5537.09856,4789.590255,55.370986,692.13732
110000,北京,通燕高速,通燕高速-K29,5511.193476,5147.818082,121.125131,242.250263
440100,广州,S3广深沿江高速,G1501广州绕城高速-K46,5223.585279,3983.643319,26.381744,1213.560216
110000,北京,G1京哈高速,G1京哈高速-K8,5206.964315,2177.912959,93.875559,2935.175798
310000,上海,S2沪芦高速,S2沪芦高速-K61,5027.652086,4434.109826,69.828501,523.713759
440100,广州,土华立交桥,S81广州环城高速-K35,5012.747937,3485.876439,187.257825,1339.613673
440100,广州,土华立交桥,S81广州环城高速-K35,4981.533969,3907.92751,128.832775,944.773684
510100,成都,G42沪蓉高速,,4964.932719,3840.981415,127.055365,996.89594
440300,深圳,G4京港澳高速,,4899.301579,4118.813473,131.369285,649.118821
350100,福州,S1521福州连接线,S1521福州连接线-K12,4715.262447,4286.602225,107.165056,321.495167
370200,青岛,S7602青岛前湾港区2号疏港高速,S7602青岛前湾港区2号疏港高速-K5,4548.726357,3549.006278,49.986004,949.734074
510100,成都,白家立交,G4201成都绕城高速-K42,4507.228055,3583.795965,43.972957,879.459133
440100,广州,仑头立交,S81广州环城高速-K33,4505.258126,3322.179732,239.005736,944.072658
310000,上海,S7沪崇高速出口,S20外环高速-K84,8527.945421,327.997901,7297.953293,901.994227
110000,北京,S32京平高速出口,S11京承高速-K10,6891.882579,6081.072863,81.080972,729.728744
441900,东莞,S6广龙高速出口,G4京港澳高速-K2215,6891.876624,4971.189696,1694.72376,225.963168
440400,珠海,金台立交,S32西部沿海高速-K22,6136.558123,5460.973742,56.298698,619.285682
340100,合肥,机场互通,S93机场高速-K2,5847.265279,5016.884411,172.996014,657.384854
420100,武汉,加油站,S13武监高速-K11,4167.549622,3461.185279,141.272869,565.091474
320100,南京,南庄枢纽,G2501南京绕城高速-K81,3652.18105,2934.055562,123.107226,595.018261
440300,深圳,鹤洲立交,G4京港澳高速-K2254,3627.563757,2609.300246,111.372571,906.890939
310000,上海,莘庄立交,S20外环高速-K59,3425.874232,2220.474039,63.442115,1141.958077
440300,深圳,水朗立交,G15沈海高速-K2891,3317.944391,1137.580934,37.919364,2142.444093
440100,广州,土华立交桥,S81广州环城高速-K35,3008.738423,428.120882,71.35348,2509.26406
441300,惠州,数码园立交,S20潮莞高速-K20,2965.648461,1965.991676,899.691106,99.965678
370100,济南,G2京沪高速,G2京沪高速-K401,2899.966421,305.259623,0.0,2594.706798
