城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
441600,null,G35济广高速,,45.03161,44.488572,0.543038,0.0
411000,null,G1516盐洛高速,S32永登高速-K221,44.422009,43.059061,1.362948,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,41.010746,39.355213,1.655533,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,40.195679,39.217285,0.978394,0.0
371400,德州,S12滨德高速,S12滨德高速-K100,38.645873,37.618866,1.027006,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K118,38.182286,37.46138,0.720906,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,38.031592,36.269745,1.761847,0.0
220400,null,S14营东高速,S2611营东高速-K93,37.692308,37.008547,0.683761,0.0
370700,潍坊,G20青银高速,G20青银高速-K199,37.420109,36.581678,0.83843,0.0
441600,null,G35济广高速,,37.281128,36.357004,0.924125,0.0
