城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7676.641078,6993.006993,42.72713,640.906955
110000,北京,G3京台高速,,7468.905766,6604.085098,78.620061,786.200607
532900,null,G56杭瑞高速,G56杭瑞高速-K2461,7464.871194,4391.100703,1463.700234,1610.070258
120000,天津,S4津港高速,S4津港高速-K11,6259.204713,4847.815415,122.729504,1288.659794
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6250.788862,5769.958949,30.05187,450.778043
110000,北京,G3京台高速,,6152.067439,5542.164202,26.517532,583.385705
340700,null,G3京台高速,G3京台高速-K1179,6138.916309,5844.248327,147.333991,147.333991
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5337.162364,4876.595053,54.184389,406.382921
610100,西安,S3011绕城高速联络线,,4619.369456,4051.11369,91.654156,476.601611
320100,南京,S55宁宣高速,S55宁宣高速-K27,4509.333469,3786.138479,159.528307,563.666684
120000,天津,S5荣乌联络线,,4500.989539,4003.392706,67.854114,429.74272
350100,福州,G1523甬莞高速,G70福银高速-K18,4333.381482,3755.597284,0.0,577.784198
510100,成都,S57城北出口高速,,4268.374016,3499.438991,125.540412,643.394613
441300,惠州,S21广惠高速,,4095.004095,2602.75684,1353.433557,138.813698
341100,滁州,G36宁洛高速,G36宁洛高速-K44,4031.187735,3028.897889,77.099219,925.190628
610400,咸阳,机场高速,G70福银高速-K1699,3996.827914,3457.573354,31.720856,507.533703
520100,贵阳,贵遵高速,,3992.680087,2614.254819,0.0,1378.425268
440100,广州,S81广州环城高速,S81广州环城高速-K60,3932.413905,3096.77595,83.185679,752.452276
341100,滁州,G40沪陕高速,G40沪陕高速-K511,3920.533796,3468.164512,150.789761,301.579523
110000,北京,G1京哈高速,G1京哈高速-K8,3820.074491,3493.357594,41.886782,284.830116
320500,苏州,S48沪宜高速,S48沪宜高速-K13,2564.825254,0.0,0.0,2564.825254
440400,珠海,G0425广澳高速,,1577.345507,21.172423,0.0,1556.173085
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1329.381489,163.638462,5.792512,1159.950515
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1288.278407,26.113752,0.0,1262.164656
350100,福州,S81机场高速,S1531机场高速-K50,1169.6167,0.0,0.0,1169.6167
610100,西安,S3011绕城高速联络线,,1112.932783,25.21207,3.601724,1084.118989
440100,广州,S4华南快速,,796.984206,5.45346,0.779066,790.75168
350100,福州,S52福州南连接线,,741.123684,375.360485,10.66365,355.099549
500000,重庆,G75兰海高速,G75兰海高速-K992,722.350694,319.967421,4.847991,397.535281
310000,上海,G60沪昆高速,,716.449685,250.580924,3.529309,462.339452
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,716.355017,8.427706,8.427706,699.499605
350100,福州,S52福州南连接线,,670.816178,185.011579,2.387246,483.417352
