城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7643.70159,7049.191466,70.775015,523.735109
110000,北京,G3京台高速,,6665.390994,5995.662712,31.891823,637.836459
110000,北京,G3京台高速,,6369.340434,5881.476061,108.414305,379.450068
120000,天津,S4津港高速,S4津港高速-K11,6339.650933,5126.848146,220.509598,992.29319
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6209.719719,5667.12285,0.0,542.596869
350100,福州,G1523甬莞高速,G70福银高速-K18,5808.656036,4328.018223,0.0,1480.637813
340700,null,G3京台高速,G3京台高速-K1179,5774.4713,5418.51074,39.551173,316.409386
120000,天津,S5荣乌联络线,,5465.31046,4696.118617,141.693234,627.498608
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5209.619278,4518.295393,98.760555,592.56333
110000,北京,G7京新高速,G7京新高速-K14,5035.92704,4114.720875,30.706872,890.499294
441300,惠州,S21广惠高速,,4645.079272,2475.338296,1741.904727,427.836249
610400,咸阳,机场高速,G70福银高速-K1699,4592.422503,4062.527599,0.0,529.894904
110000,北京,G1京哈高速,G1京哈高速-K8,4583.276014,4215.524298,34.051085,333.700631
510100,成都,S57城北出口高速,,4514.691386,3796.758811,69.031978,648.900597
371000,null,G18荣乌高速,,4227.907263,3536.067893,307.484165,384.355206
610100,西安,G3023西兴高速,,4204.230877,3197.584048,14.80363,991.8432
610100,西安,S3011绕城高速联络线,,4080.400834,3433.695796,46.193217,600.511821
370200,青岛,S7601青岛前湾港1号疏港高速,S7601青岛前湾港1号疏港高速-K4,4057.689218,2966.026637,144.18185,947.480731
320100,南京,S55宁宣高速,S55宁宣高速-K27,3997.055962,3408.98336,73.509075,514.563526
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,3909.003327,3047.175822,0.0,861.827505
440400,珠海,G0425广澳高速,,1947.543661,44.943315,0.0,1902.600345
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1701.12536,0.0,0.0,1701.12536
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1308.554033,15.040851,15.040851,1278.472331
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1197.445279,140.875915,7.684141,1048.885223
350100,福州,S81机场高速,S1531机场高速-K50,1192.208174,0.0,0.0,1192.208174
610100,西安,S3011绕城高速联络线,,1137.752157,14.814481,0.0,1122.937676
110000,北京,G45大广高速,G45大广高速-K1355,895.648347,457.900217,13.434725,424.313404
440100,广州,S4华南快速,,850.606029,7.208526,0.800947,842.596556
500000,重庆,G75兰海高速,G75兰海高速-K944,816.490117,431.429346,32.2564,352.804371
110000,北京,G7京新高速,G7京新高速-K3,781.539361,375.903443,8.494993,397.140925
500000,重庆,G75兰海高速,G75兰海高速-K992,725.148391,309.61392,0.0,415.534471
110000,北京,G45大广高速,,712.330244,391.460765,0.0,320.869479
500000,重庆,G75兰海高速,G75兰海高速-K931,660.921903,3.755238,0.0,657.166665
500000,重庆,G75兰海高速,G75兰海高速-K990,641.668755,194.482615,4.954971,442.231169
500000,重庆,G75兰海高速,G75兰海高速-K992,610.992813,376.962147,4.712027,229.318639
350100,福州,S52福州南连接线,,587.373307,216.81565,5.913154,364.644503
110000,北京,G6京藏高速,G6京藏高速-K53,580.906435,47.420933,359.608746,173.876756
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,578.536303,4.62829,0.0,573.908013
500000,重庆,G75兰海高速,G75兰海高速-K930,556.409417,104.982909,13.997721,437.428787
310000,上海,G60沪昆高速,,537.326508,170.040034,3.400801,363.885673
510100,成都,S57城北出口高速,,9551.156113,8976.877739,60.450355,513.828019
510100,成都,S1成万高速,,7514.831905,6829.268293,52.735662,632.82795
440400,珠海,S47广佛江珠高速,,7422.245274,7153.971348,0.0,268.273926
110000,北京,通燕高速,通燕高速-K29,6851.41227,6336.040551,60.631967,454.739752
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,6653.359947,6077.588413,63.974615,511.796919
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,6604.194556,5762.733474,101.995283,739.4658
330100,杭州,G25长深高速,G25长深高速-K2289,5673.05074,5134.110919,28.365254,510.574567
110000,北京,怀柔桥,S11京承高速-K42,5667.75395,4973.743262,173.502672,520.508016
310000,上海,G2京沪高速,G2京沪高速-K1215,5531.152095,4373.78207,148.035701,1009.334324
420100,武汉,常青立交,G42沪蓉高速-K834,5512.489233,4048.234281,0.0,1464.254953
110000,北京,G1京哈高速,G1京哈高速-K8,5364.639157,2316.675598,61.405859,2986.557699
110000,北京,怀柔桥,S11京承高速-K42,5161.138278,4336.298828,23.566841,801.272609
440400,珠海,G0425广澳高速,,4943.392965,4217.440152,103.707545,622.245268
310000,上海,S2沪芦高速,S2沪芦高速-K61,4755.959812,4189.77412,70.773211,495.41248
110000,北京,通燕高速,通燕高速-K29,4645.831509,3884.219786,19.040293,742.57143
230100,哈尔滨,G10绥满高速,,4626.371621,3757.569439,65.160164,803.642019
440300,深圳,G4京港澳高速,,4618.561832,3677.300526,63.814326,877.44698
440100,广州,土华立交桥,S81广州环城高速-K35,4611.367569,2688.950482,121.671968,1800.745119
440100,广州,土华立交桥,S81广州环城高速-K35,4599.35609,3599.496071,39.994401,959.865619
440100,广州,S3广深沿江高速,G1501广州绕城高速-K46,4481.327801,3706.777317,82.987552,691.562932
440400,珠海,金台立交,S32西部沿海高速-K22,5856.094758,4751.171219,0.0,1104.923539
310000,上海,S7沪崇高速出口,S20外环高速-K84,5804.00782,101.824699,4989.410231,712.77289
500000,重庆,绕城渝广互通,G5001重庆绕城高速-K16,5197.055002,371.218214,4516.488276,309.348512
