城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
370700,潍坊,G20青银高速,G20青银高速-K135,51.463878,50.760456,0.703422,0.0
230700,null,G1111鹤哈高速,G1111鹤哈高速-K287,50.686813,49.175824,1.510989,0.0
441600,null,G35济广高速,,46.3752,45.999861,0.375339,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,42.408486,40.827787,1.580699,0.0
321300,宿迁,G2513淮徐高速,G2513淮徐高速-K91,41.864258,41.27462,0.589637,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,40.114487,39.01365,1.100837,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,40.018744,40.018744,0.0,0.0
440700,江门,G2518深岑高速,,38.654979,38.654979,0.0,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,38.226195,36.438639,1.787556,0.0
441600,null,G35济广高速,,37.77308,37.77308,0.0,0.0
