城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
220800,null,G12珲乌高速,G12珲乌高速-K715,51.590331,50.381679,1.208651,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,51.079607,48.68048,2.399128,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,49.65781,47.60467,2.05314,0.0
441600,null,G35济广高速,,47.920957,47.67047,0.250487,0.0
231200,null,G10绥满高速,,47.563073,46.84633,0.716743,0.0
511300,南充,G5515张南高速,G5515南大梁高速-K49,45.750971,45.159655,0.591316,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,45.696594,42.600619,3.095975,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K118,45.237305,44.955194,0.282111,0.0
511300,南充,G5515张南高速,G5515南大梁高速-K59,45.208701,45.208701,0.0,0.0
511300,南充,G5515张南高速,G5515南大梁高速-K58,44.46077,44.46077,0.0,0.0
