城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
150400,null,清水河大桥,G45大广高速-K740,52.524038,47.115385,5.408654,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,50.130095,47.6366,2.493495,0.0
220700,null,G1015铁科高速,,46.89781,42.70073,4.19708,0.0
150400,null,公益阁大桥,,45.833333,43.951613,1.88172,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,43.934375,42.814324,1.12005,0.0
411400,null,S60商登高速,,41.868132,40.659341,1.208791,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,40.421793,38.137083,2.28471,0.0
340100,合肥,G5011芜合高速,G5011芜合高速-K101,39.945795,39.945795,0.0,0.0
510700,绵阳,三道河大桥,S2成巴高速-K112,39.529915,37.905983,1.623932,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,39.344799,39.344799,0.0,0.0
