城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
441600,null,G35济广高速,,45.017153,44.573676,0.443478,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,40.362502,39.582927,0.779575,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,40.16129,38.682796,1.478495,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K118,38.524423,37.993051,0.531371,0.0
220100,长春,G1015铁科高速,,38.297872,36.474164,1.823708,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K164,38.002594,37.418936,0.583658,0.0
370700,潍坊,G20青银高速,G20青银高速-K199,37.748486,36.85073,0.897756,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,37.201195,37.201195,0.0,0.0
469030,null,G9813万洋高速,,36.594912,36.594912,0.0,0.0
441400,null,G35济广高速,,36.437247,35.425101,1.012146,0.0
