城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
510700,绵阳,S2成巴高速,S2成巴高速-K112,43.29588,41.44819,1.84769,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,43.033708,40.93633,2.097378,0.0
410200,null,S60商登高速,G45大广高速-K1978,42.99381,41.643219,1.350591,0.0
441600,null,G35济广高速,,42.927429,42.320623,0.606806,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K94,40.795673,40.254755,0.540918,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,40.688172,39.032258,1.655914,0.0
441400,null,G35济广高速,,40.084146,38.860203,1.223943,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K93,37.808267,37.269885,0.538381,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,37.781732,36.002372,1.779359,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K121,37.437366,36.530661,0.906705,0.0
