城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
510100,成都,S1成万高速,S1成绵高速复线-K20,9120.329509,8649.602824,117.681671,353.045013
110000,北京,京开高速,京开高速-K8,8932.940547,8194.00245,16.420847,722.51725
320600,南通,S79南通支线,,7602.19342,7352.941176,0.0,249.252243
110000,北京,G3京台高速,,7566.263417,6671.099858,63.940254,831.223305
340700,null,G3京台高速,G3京台高速-K1179,7200.776432,6574.621959,156.538618,469.615854
120000,天津,S4津港高速,S4津港高速-K11,7063.471227,6313.368088,0.0,750.103139
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6288.006012,5712.883511,38.3415,536.781001
330100,杭州,S2杭甬高速,S2杭甬高速-K19,6115.745016,5601.053604,0.0,514.691412
120000,天津,S5荣乌联络线,,5758.44825,4788.604334,80.820326,889.023589
610100,西安,S3011绕城高速联络线,,5659.126902,4884.493562,86.070371,688.562969
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4814.038357,3688.174548,77.64578,1048.218029
510100,成都,S57城北出口高速,,4754.289666,4019.535808,72.034692,662.719166
110000,北京,G3京台高速,,4670.240416,4230.290232,0.0,439.950184
610400,咸阳,机场高速,G70福银高速-K1699,4659.862197,4242.081448,32.136981,385.643768
110000,北京,S15京津高速,G1京津高速-K33,4463.867136,2466.33755,285.361369,1712.168216
350100,福州,G1523甬莞高速,G70福银高速-K18,4377.693966,3704.202586,0.0,673.491379
110000,北京,G1京哈高速,G1京哈高速-K8,4234.551826,3890.49449,70.575864,273.481472
120000,天津,S2津宁高速,,4232.696736,3830.590546,0.0,402.10619
320100,南京,S55宁宣高速,S55宁宣高速-K27,4193.415495,3666.604503,84.289759,442.521233
110000,北京,G4京港澳高速,G4京港澳高速-K10,4188.411381,2882.269156,21.890652,1284.251573
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1967.504443,0.0,0.0,1967.504443
440400,珠海,G0425广澳高速,,1629.896208,26.078339,0.0,1603.817869
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1379.269285,0.0,0.0,1379.269285
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1339.30913,166.352718,10.18486,1162.771552
350100,福州,S81机场高速,S1531机场高速-K50,1193.25226,0.0,0.0,1193.25226
610100,西安,S3011绕城高速联络线,,1028.835494,4.532315,0.0,1024.303179
110000,北京,G7京新高速,G7京新高速-K14,857.684776,349.004709,0.0,508.680066
440100,广州,S4华南快速,,789.587546,7.576,0.0,782.011546
110000,北京,G6京藏高速,G6京藏高速-K53,773.240163,64.43668,529.812704,178.990778
440100,广州,S81广州环城高速,S81广州环城高速-K29,716.493106,273.398685,0.0,443.094421
