城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
370700,潍坊,G20青银高速,G20青银高速-K135,48.870798,48.345588,0.52521,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,47.811448,44.837262,2.974186,0.0
231200,null,G10绥满高速,,46.26506,45.742972,0.522088,0.0
120000,天津,S2津宁高速,S2津宁高速-K37,45.563549,43.448877,2.114672,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,44.616547,44.616547,0.0,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,43.882157,41.173675,2.708482,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,43.578739,41.300759,2.27798,0.0
220100,长春,G1015铁科高速,,42.537313,40.074627,2.462687,0.0
441600,null,G35济广高速,,42.465129,41.836084,0.629045,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,42.046093,39.20742,2.838673,0.0
