城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,6884.323965,6247.143075,27.703517,609.477373
110000,北京,G3京台高速,,6858.687042,6189.965055,34.293435,634.428551
110000,北京,G3京台高速,,6412.086162,5729.509248,62.052447,620.524467
120000,天津,S4津港高速,S4津港高速-K11,5616.657986,5054.992188,153.181581,408.484217
330100,杭州,S2杭甬高速,S2杭甬高速-K20,5561.157136,5041.422825,25.986716,493.747596
340700,null,G3京台高速,G3京台高速-K1179,5207.429266,4895.873669,89.015885,222.539712
510100,成都,S57城北出口高速,,4984.006242,4275.896066,54.470014,653.640163
610400,咸阳,机场高速,G70福银高速-K1699,4741.609531,3978.591905,0.0,763.017626
120000,天津,S5荣乌联络线,,4579.290518,3963.242466,82.13974,533.908312
610100,西安,S3011绕城高速联络线,,4502.192119,3821.048662,132.90604,548.237417
610100,西安,G3023西兴高速,,4311.90577,3437.248728,15.34486,859.312182
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4304.178232,3619.422604,24.455558,660.30007
371000,null,G18荣乌高速,,4280.545325,3553.66027,161.530012,565.355043
320100,南京,S55宁宣高速,S55宁宣高速-K27,4140.022955,3320.216429,73.782587,746.023938
440100,广州,S81广州环城高速,S81广州环城高速-K60,4086.314431,3331.685727,124.513736,630.114968
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4022.584986,2888.947399,109.706863,1023.930724
110000,北京,G1京哈高速,G1京哈高速-K8,3980.039288,3700.738286,15.516722,263.78428
120000,天津,S5荣乌联络线,,3905.358023,3286.476151,85.363017,533.518856
110000,北京,G4京港澳高速,G4京港澳高速-K10,3826.990811,2555.383371,48.673969,1222.933471
120000,天津,S2津宁高速,,3798.455979,3233.820631,34.220324,530.415024
440400,珠海,G0425广澳高速,,2046.619377,26.127056,0.0,2020.492321
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1898.604269,0.0,0.0,1898.604269
350100,福州,S81机场高速,S1531机场高速-K50,1372.244815,0.0,0.0,1372.244815
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1224.838927,130.428153,5.928552,1088.482222
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1167.720363,13.737887,0.0,1153.982476
610100,西安,S3011绕城高速联络线,,1062.768194,34.505461,0.0,1028.262733
110000,北京,G7京新高速,G7京新高速-K3,908.998795,427.979312,1.828971,479.190512
440100,广州,S4华南快速,,828.182296,8.760268,1.347734,818.074294
310000,上海,G60沪昆高速,,765.189341,336.017928,3.32691,425.844503
110000,北京,G7京新高速,G7京新高速-K3,723.497058,360.451939,5.186359,357.85876
500000,重庆,G75兰海高速,G75兰海高速-K990,709.559541,294.364375,10.283472,404.911695
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,707.238949,3.416613,6.833227,696.98911
350100,福州,S52福州南连接线,,705.419013,329.618127,7.244354,368.556532
