城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
510700,绵阳,S2成巴高速,S2成巴高速-K112,44.7212,41.947354,2.773847,0.0
441600,null,G35济广高速,,43.292347,42.705084,0.587264,0.0
652300,null,G7京新高速,,40.812183,39.695431,1.116751,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,40.651387,38.190591,2.460796,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K118,40.556247,40.099626,0.456621,0.0
411600,null,G1516盐洛高速,S32永登高速-K144,39.784946,38.22766,1.557286,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,39.762443,37.160633,2.60181,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K94,37.75739,37.553517,0.203874,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K164,36.64966,35.884354,0.765306,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K87,36.004461,35.940736,0.063725,0.0
