城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,7858.1993,7221.439136,43.415466,593.344699
110000,北京,G3京台高速,,7220.661834,6643.804553,19.89163,556.965651
330100,杭州,S2杭甬高速,S2杭甬高速-K20,6430.055919,5855.943783,28.705607,545.406529
120000,天津,S4津港高速,S4津港高速-K11,6133.032147,5525.801241,121.446181,485.784724
610100,西安,S3011绕城高速联络线,,5784.480204,4932.777597,70.975217,780.72739
110000,北京,G3京台高速,,5583.231054,5005.655428,24.065651,553.509975
340700,null,G3京台高速,G3京台高速-K1179,5569.434081,5028.712325,162.216527,378.505229
510100,成都,S57城北出口高速,,5479.265863,4672.242209,113.266478,693.757176
330100,杭州,S2杭甬高速,S2杭甬高速-K19,4965.622613,4201.680672,50.929463,713.012478
120000,天津,S5荣乌联络线,,4603.553434,3967.117475,63.643596,572.792363
610400,咸阳,机场高速,G70福银高速-K1699,4436.873332,4080.628028,0.0,356.245304
610100,西安,G3023西兴高速,,4361.596479,3506.052554,33.550742,821.993182
430100,长沙,S40机场高速,S40机场高速-K15,4084.20463,3422.952452,38.897187,622.354991
350100,福州,G1523甬莞高速,G70福银高速-K18,4075.281565,3260.225252,0.0,815.056313
440100,广州,S81广州环城高速,S81广州环城高速-K60,4073.386004,3352.596285,96.105296,624.684423
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,3866.23575,2965.365284,37.536269,863.334197
110000,北京,S15京津高速,G1京津高速-K33,3768.265348,2557.734511,195.246909,1015.283928
110000,北京,G4京港澳高速,G4京港澳高速-K10,3733.710691,2504.642225,39.86168,1189.206786
120000,天津,S2津宁高速,,3669.828365,3165.731062,80.655568,423.441734
520100,贵阳,贵遵高速,,3649.859542,2993.705018,82.019316,574.135209
440400,珠海,G0425广澳高速,,1802.13965,93.75293,10.416992,1697.969728
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1774.90689,0.0,0.0,1774.90689
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1430.562194,42.075359,16.830143,1371.656692
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1225.914195,150.427545,2.81173,1072.674921
610100,西安,S3011绕城高速联络线,,1103.792425,40.337929,3.667084,1059.787412
350100,福州,S81机场高速,S1531机场高速-K50,1050.52643,0.0,0.0,1050.52643
500000,重庆,G75兰海高速,G75兰海高速-K992,988.357806,519.713983,9.012381,459.631442
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,810.282776,4.113111,4.113111,802.056555
