城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
510700,绵阳,S2成巴高速,S2成巴高速-K112,48.177018,45.66256,2.514458,0.0
441600,null,G35济广高速,,47.206229,46.682806,0.523423,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,44.573643,42.248062,2.325581,0.0
220800,null,G12珲乌高速,G12珲乌高速-K715,44.353519,43.207856,1.145663,0.0
321300,宿迁,G2513淮徐高速,G2513淮徐高速-K91,43.876694,43.420895,0.455799,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,43.33501,41.12173,2.21328,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,42.973488,41.795183,1.178305,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,42.700594,42.700594,0.0,0.0
440700,江门,G2518深岑高速,,41.670384,41.670384,0.0,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,41.510342,38.961039,2.549303,0.0
