城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
110000,北京,京开高速,京开高速-K8,9410.878976,8648.273266,32.451307,730.154403
510100,成都,S1成万高速,S1成绵高速复线-K20,9101.580135,8595.936795,108.352144,397.291196
110000,北京,G3京台高速,,7728.974089,7056.889385,51.698823,620.38588
330100,杭州,S2杭甬高速,S2杭甬高速-K20,7716.996119,7006.645012,64.577373,645.773734
110000,北京,G3京台高速,,7271.513548,6874.163081,39.735047,357.61542
320600,南通,S79南通支线,,5928.121526,5742.867729,0.0,185.253798
120000,天津,S4津港高速,S4津港高速-K11,5866.823115,5028.705527,69.843132,768.274456
610400,咸阳,机场高速,G70福银高速-K1699,5495.07025,5139.274334,0.0,355.795915
340700,null,G3京台高速,G3京台高速-K1179,5369.63037,4786.879787,41.625042,541.125541
120000,天津,S5荣乌联络线,,5083.932854,4508.393285,57.553957,517.985612
330100,杭州,S2杭甬高速,S2杭甬高速-K19,5075.056667,4476.314026,28.511554,570.231086
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,4653.469123,3254.885507,203.430344,1195.153272
320100,南京,S55宁宣高速,S55宁宣高速-K27,4581.431871,4054.95926,89.612359,436.860252
110000,北京,G7京新高速,G7京新高速-K14,4325.807132,3587.254695,35.169164,703.383274
110000,北京,G6京藏高速,G6京藏高速-K5,4231.20753,3745.832102,31.654919,453.720508
610100,西安,S3011绕城高速联络线,,4187.628712,3642.663332,57.364777,487.600603
610100,西安,G3023西兴高速,,4110.819501,3218.435197,29.258502,863.125803
110000,北京,S15京津高速,G1京津高速-K33,4048.815887,2500.088499,199.122093,1349.605296
110000,北京,G1京哈高速,G1京哈高速-K8,3915.557699,3563.597456,35.196024,316.764218
510100,成都,S57城北出口高速,,3912.416775,3340.426019,57.199076,514.791681
320500,苏州,S48沪宜高速,S48沪宜高速-K13,1961.883408,0.0,0.0,1961.883408
440400,珠海,G0425广澳高速,,1752.289924,21.722602,7.240867,1723.326455
350100,福州,S81机场高速,S1531机场高速-K50,1235.235844,0.0,0.0,1235.235844
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1208.493577,0.0,0.0,1208.493577
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1202.91393,118.23513,10.281316,1074.397485
610100,西安,S3011绕城高速联络线,,973.863691,6.449428,0.0,967.414263
440100,广州,S4华南快速,,811.211328,5.896656,1.684759,803.629914
350100,福州,S52福州南连接线,,765.033684,466.295747,5.51177,293.226167
520600,null,S25沿榕高速,,697.098243,537.108482,22.85568,137.134081
370200,青岛,G22青兰高速,G22青兰高速胶州湾大桥-K34,585.137507,4.6811,4.6811,575.775307
440100,广州,G0425广澳高速,G4W广澳高速-K45,579.658083,416.374116,0.0,163.283967
350100,福州,G1505福州绕城高速,,579.531202,12.200657,0.0,567.330545
110000,北京,G6京藏高速,G6京藏高速-K53,533.228787,20.313478,385.956074,126.959235
310000,上海,G60沪昆高速,,504.649341,103.69507,0.0,400.954271
350100,福州,S52福州南连接线,,503.112951,209.710561,4.809875,288.592515
440300,深圳,S3广深沿江高速,S3广深沿江高速-K59,501.738251,255.678118,2.404496,243.655636
440100,广州,G0425广澳高速,G4W广澳高速-K46,491.639166,233.642762,4.05894,253.937464
441900,东莞,G9411莞佛高速,G9411莞佛高速-K38,489.860674,241.638263,1.975245,246.247167
441900,东莞,S3广深沿江高速,S3广深沿江高速-K59,486.342681,217.183564,0.0,269.159117
321000,扬州,G2京沪高速,G2京沪高速-K875,477.687049,245.937886,4.729575,227.019588
510100,成都,S57城北出口高速,,7702.020202,7146.464646,101.010101,454.545455
440400,珠海,S47广佛江珠高速,,6468.502199,6316.302148,0.0,152.200052
510100,成都,S1成万高速,,6370.656009,5827.276526,56.211671,487.167812
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,6267.146888,5565.018398,52.009518,650.118972
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,6098.467946,5652.238584,74.37156,371.857802
110000,北京,通燕高速,通燕高速-K29,6092.607636,5603.694678,75.217378,413.69558
440100,广州,S3广深沿江高速,G1501广州绕城高速-K46,5526.870773,4290.597047,145.443968,1090.829758
330100,杭州,G25长深高速,G25长深高速-K2289,5483.448212,4935.10339,0.0,548.344821
310000,上海,G2京沪高速,G2京沪高速-K1215,5151.913665,4157.684712,75.320375,918.908578
110000,北京,G1京哈高速,G1京哈高速-K8,5128.093854,2430.239118,79.5614,2618.293336
310000,上海,S2沪芦高速,S2沪芦高速-K61,4697.432189,3846.576547,70.904637,779.951005
230100,哈尔滨,G10绥满高速,,4605.703895,3429.355281,59.814336,1116.534278
110000,北京,S28机场北线高速,S28机场北线高速-K8,4578.080803,3924.06926,0.0,654.011543
440100,广州,土华立交桥,S81广州环城高速-K35,4495.677233,3381.364073,192.122959,922.190202
420100,武汉,黄花涝立交桥,G42沪蓉高速-K836,4467.63359,3510.283535,159.558343,797.791713
440300,深圳,G4京港澳高速,,4406.135809,3702.311052,57.84861,645.976147
370200,青岛,S7602青岛前湾港区2号疏港高速,S7602青岛前湾港区2号疏港高速-K5,4394.500596,3191.244481,104.630967,1098.625149
110000,北京,通燕高速,通燕高速-K29,4348.206247,3639.259576,0.0,708.946671
440100,广州,土华立交桥,S81广州环城高速-K35,4330.622245,2862.363333,177.970777,1290.288135
110000,北京,怀柔桥,S11京承高速-K42,4259.480022,3723.696371,26.789183,508.994468
441900,东莞,S6广龙高速出口,G4京港澳高速-K2215,6091.482999,4762.432163,1107.542363,221.508473
440400,珠海,金台立交,S32西部沿海高速-K22,5507.94451,4714.42708,140.032488,653.484942
340100,合肥,机场互通,S93机场高速-K2,5497.458952,4367.425723,122.165754,1007.867475
310000,上海,S7沪崇高速出口,S20外环高速-K84,5433.891076,307.57874,4921.259843,205.052493
