城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
230700,null,G1111鹤哈高速,G1111鹤哈高速-K287,42.44713,41.691843,0.755287,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,41.251924,39.379169,1.872755,0.0
411400,null,S60商登高速,,39.317995,38.20871,1.109285,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,37.390809,37.390809,0.0,0.0
441600,null,G35济广高速,,37.241204,36.74584,0.495364,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,37.027965,35.925699,1.102266,0.0
150400,null,G45大广高速,G45大广高速-K803,36.956522,33.580019,3.376503,0.0
150400,null,G16丹锡高速,,36.555891,35.951662,0.60423,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,36.365274,35.320605,1.044669,0.0
150400,null,G16丹锡高速,G16丹锡高速-K583,35.254854,35.254854,0.0,0.0
