城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
120000,天津,S2津宁高速,S2津宁高速-K37,50.10925,47.123088,2.986162,0.0
360200,null,G6021杭长高速,S36德昌高速-K70,47.975965,45.540797,2.435168,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,45.675494,43.39591,2.279584,0.0
411000,null,G1516盐洛高速,S32永登高速-K221,43.086484,41.843604,1.242879,0.0
150400,null,G45大广高速,G45大广高速-K803,41.360978,36.735779,4.625199,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K94,41.356735,41.064215,0.29252,0.0
441600,null,G35济广高速,,40.77619,40.238626,0.537564,0.0
510700,绵阳,G93成渝环线高速,G93成渝环线高速-K163,40.633075,38.501292,2.131783,0.0
341100,滁州,S12滁新高速,,40.037594,40.037594,0.0,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K121,39.722273,38.644254,1.078019,0.0
