城市编码,城市,高速名称,位置描述,概率,20%,20%-50%,50%
120000,天津,S2津宁高速,S2津宁高速-K37,50.77534,48.354766,2.420575,0.0
441600,null,G35济广高速,,45.822071,45.434246,0.387825,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,44.573235,41.09589,3.477345,0.0
370700,潍坊,G22青兰高速,G22青兰高速-K133,44.13313,43.029377,1.103753,0.0
652300,null,G7京新高速,,43.887363,42.239011,1.648352,0.0
341800,null,S81宣城绕城高速,S32宣铜高速-K24,43.545138,43.545138,0.0,0.0
130200,唐山,G95首都环线高速,,40.411546,38.03944,2.372106,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K87,39.457332,39.208782,0.24855,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,39.381153,36.357243,3.02391,0.0
510700,绵阳,S2成巴高速,S2成巴高速-K112,39.060206,35.917768,3.142438,0.0
