城市编码,城市,高速名称,位置描述,风险值,急刹指数,急转指数,急加指数
350500,泉州,S56南惠支线高速,,14573.1478,13162.843174,235.050771,1175.253855
110000,北京,京开高速,京开高速-K8,7983.616231,7245.999514,57.852292,679.764425
110000,北京,G3京台高速,,7283.999299,6608.540717,73.022549,602.436032
110000,北京,G3京台高速,,6075.603034,5451.948418,0.0,623.654616
330100,杭州,S2杭甬高速,S2杭甬高速-K20,5696.827926,5192.683861,0.0,504.144064
120000,天津,S5荣乌联络线,,5194.344724,4556.13172,53.184417,585.028587
120000,天津,S4津港高速,S4津港高速-K11,5111.533665,4702.610971,51.115337,357.807357
340700,null,G3京台高速,G3京台高速-K1179,5054.361269,4731.742464,143.386135,179.232669
610400,咸阳,机场高速,G70福银高速-K1699,4941.79943,4327.275148,102.420714,512.103568
110000,北京,G1京哈高速,G1京哈高速-K8,4620.64366,4209.421328,37.383848,373.838484
610100,西安,G3023西兴高速,,4451.239269,3318.768501,62.915043,1069.555725
440100,广州,S81广州环城高速,S81广州环城高速-K60,4173.44766,3193.684412,58.442018,921.32123
610100,西安,S3011绕城高速联络线,,4113.839503,3294.107646,151.802196,667.929661
510100,成都,S57城北出口高速,,4029.83616,3305.12448,65.88288,658.8288
330100,杭州,S2杭甬高速,S2杭甬高速-K19,3975.225112,3172.149332,80.307578,722.768202
130100,石家庄,S071西柏坡高速,S071西柏坡高速-K9,3974.885003,2850.410956,78.451678,1046.022369
320100,南京,S55宁宣高速,S55宁宣高速-K27,3759.017257,3057.537363,38.123907,663.355987
120000,天津,S5荣乌联络线,,3719.893634,2956.422015,113.708539,649.76308
110000,北京,G4京港澳高速,G4京港澳高速-K10,3680.793415,2392.51572,20.448852,1267.828843
350100,福州,G1523甬莞高速,G70福银高速-K18,3639.558233,2844.712182,41.834003,753.012048
320500,苏州,S48沪宜高速,S48沪宜高速-K13,2299.663895,0.0,0.0,2299.663895
440400,珠海,G0425广澳高速,,1848.089837,49.376446,0.0,1798.713391
440300,深圳,S3广深沿江高速,S3广深沿江高速-K86,1312.479322,122.246169,21.115247,1169.117906
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,1233.214579,17.872675,5.957558,1209.384346
610100,西安,S3011绕城高速联络线,,1043.504969,29.53316,0.0,1013.97181
350100,福州,S81机场高速,S1531机场高速-K50,981.144887,0.0,0.0,981.144887
440100,广州,S4华南快速,,947.33734,9.173699,1.83474,936.328901
500000,重庆,G75兰海高速,G75兰海高速-K976,881.262489,344.759709,9.445471,527.057309
441900,东莞,G9411莞佛高速,G9411莞佛高速-K38,879.837828,405.258636,1.599705,472.979487
110000,北京,北六环,北六环-K183,843.315653,499.644697,0.0,343.670956
500000,重庆,G75兰海高速,G75兰海高速-K972,830.22214,320.962168,4.279496,504.980477
110000,北京,G7京新高速,G7京新高速-K3,829.844627,354.091252,9.079263,466.674112
350100,福州,S52福州南连接线,,790.864231,263.62141,0.0,527.24282
350100,福州,S52福州南连接线,,753.915614,353.786487,5.651541,394.477585
310000,上海,G60沪昆高速,,747.457034,178.327313,7.588396,561.541325
440100,广州,S81广州环城高速,S81广州环城高速-K27,731.862836,259.421121,4.640053,467.801663
500000,重庆,G75兰海高速,G75兰海高速-K974,693.461098,378.251508,12.123446,303.086144
500000,重庆,G75兰海高速,G75兰海高速-K977,690.723181,232.175859,5.804396,452.742926
110000,北京,G7京新高速,G7京新高速-K14,681.303869,228.498836,4.192639,448.612394
440100,广州,S81广州环城高速,S81广州环城高速-K29,679.87922,238.30818,0.0,441.57104
420100,武汉,常青立交,G42沪蓉高速-K834,8599.265623,6965.405154,85.992656,1547.867812
440400,珠海,S47广佛江珠高速,,7991.050024,7700.466387,72.645909,217.937728
330100,杭州,紫金港枢纽,G2501杭州绕城高速-K87,7976.298997,7026.739593,0.0,949.559404
510100,成都,S1成万高速,,7155.152988,6574.377583,92.924065,487.85134
420100,武汉,黄花涝立交桥,G42沪蓉高速-K836,6279.809221,5166.931638,79.491256,1033.386328
440100,广州,土华立交桥,S81广州环城高速-K35,5872.617586,4270.994608,160.162298,1441.46068
110000,北京,通燕高速,通燕高速-K29,5758.551739,5150.865374,28.937446,578.748918
330100,杭州,G25长深高速,G25长深高速-K2289,5474.260448,4684.703653,78.95568,710.601116
310000,上海,G1503上海绕城高速,G1501上海绕城高速-K202,5377.98072,5039.742939,0.0,338.237781
510100,成都,S57城北出口高速,,5349.206349,4317.460317,63.492063,968.253968
110000,北京,G1京哈高速,G1京哈高速-K8,5177.945877,2104.307388,49.080056,3024.558433
440100,广州,土华立交桥,S81广州环城高速-K35,5089.970027,2944.694389,212.503719,1932.771919
340200,芜湖,G5011芜合高速,G5011芜合高速-K6,5014.777589,4310.574779,21.339479,682.863331
110000,北京,怀柔桥,S11京承高速-K42,4776.2585,4164.664424,29.123527,582.470549
440100,广州,S81广州环城高速,S81广州环城高速-K60,4745.73097,3766.790949,42.56261,936.377411
440100,广州,土华立交桥,S81广州环城高速-K35,4706.198736,3186.768858,107.570257,1411.859621
510100,成都,白家立交,G4201成都绕城高速-K42,4662.82588,3916.773739,62.171012,683.881129
510100,成都,白家立交,G4201成都绕城高速-K43,4635.549872,3836.317136,26.641091,772.591645
130100,石家庄,张石高速连接线,绕城高速-K5,4507.933964,2738.152482,166.960517,1602.820965
110000,北京,S28机场北线高速,S28机场北线高速-K8,4494.63453,3873.665286,118.279856,502.689388
110000,北京,S32京平高速出口,S11京承高速-K10,7485.555218,6725.303516,175.4427,584.809001
440400,珠海,金台立交,S32西部沿海高速-K22,6019.181789,5173.511621,49.745304,795.924865
441300,惠州,小金口立交,G25长深高速-K3569,5230.125523,1494.321578,0.0,3735.803945
441900,东莞,S6广龙高速出口,G4京港澳高速-K2215,5221.932115,3958.561442,758.022404,505.348269
310000,上海,S7沪崇高速出口,S20外环高速-K84,5215.975789,229.273661,4126.925899,859.776229
340100,合肥,机场互通,S93机场高速-K2,4928.853077,4205.597463,80.361735,642.89388
500000,重庆,绕城渝广互通,G5001重庆绕城高速-K16,3991.53794,439.069173,3113.399593,439.069173
440300,深圳,鹤洲立交,G4京港澳高速-K2254,3738.457512,2429.997383,93.461438,1214.998692
440100,广州,土华立交桥,S81广州环城高速-K35,3608.167637,596.132044,146.418397,2865.617195
420100,武汉,黄花涝立交桥,G42沪蓉高速-K836,3513.197528,57.593402,0.0,3455.604126
440300,深圳,水朗立交,G15沈海高速-K2891,3496.033347,1021.91744,89.641881,2384.474026
420100,武汉,加油站,S13武监高速-K11,3308.191081,2481.143311,110.273036,716.774734
440300,深圳,水朗立交,S31龙大高速-K7,3119.834824,878.364711,25.512668,2215.957445
440300,深圳,水朗立交,G15沈海高速-K2891,3018.001233,1982.946659,16.342967,1018.711608
320100,南京,南庄枢纽,G2501南京绕城高速-K81,2940.215616,2377.581763,54.448437,508.185415
440100,广州,仑头立交,S81广州环城高速-K33,2795.227243,493.82348,156.066854,2145.336909
430700,null,太子庙服务区,G5513长张高速-K123,2784.136608,2062.323414,412.464683,309.348512
440100,广州,土华立交桥,S81广州环城高速-K35,2751.888157,823.55777,180.780974,1747.549413
610100,西安,三星立交,G5京昆高速-K1108,2720.889103,2406.94036,34.883194,279.065549
510100,成都,白家立交,G4201成都绕城高速-K43,2678.571429,892.857143,92.364532,1693.349754
